Attendance_ID,Employee_ID,Month,Working_Days,Present_Days,Leave_Days,Absent_Days,Overtime_Hours
ATT000001,EMP0001,2025-01-01 00:00:00,21,19,1,1,7.7
ATT000002,EMP0001,2025-02-01 00:00:00,22,20,2,0,0.5
ATT000003,EMP0001,2025-03-01 00:00:00,22,20,0,2,20.5
ATT000004,EMP0001,2025-04-01 00:00:00,23,20,2,1,2
ATT000005,EMP0001,2025-05-01 00:00:00,22,20,1,1,14.4
ATT000006,EMP0001,2025-06-01 00:00:00,21,15,2,4,14.1
ATT000007,EMP0001,2025-07-01 00:00:00,21,16,1,4,0
ATT000008,EMP0001,2025-08-01 00:00:00,21,19,1,1,2.2
ATT000009,EMP0001,2025-09-01 00:00:00,21,17,0,4,12.8
ATT000010,EMP0001,2025-10-01 00:00:00,21,20,0,1,12.8
ATT000011,EMP0001,2025-11-01 00:00:00,21,17,0,4,4.6
ATT000012,EMP0001,2025-12-01 00:00:00,21,19,1,1,0
ATT000013,EMP0002,2025-01-01 00:00:00,22,16,2,4,5.6
ATT000014,EMP0002,2025-02-01 00:00:00,22,20,1,1,3.5
ATT000015,EMP0002,2025-03-01 00:00:00,21,19,1,1,10.2
ATT000016,EMP0002,2025-04-01 00:00:00,22,21,1,0,13.1
ATT000017,EMP0002,2025-05-01 00:00:00,22,17,2,3,0
ATT000018,EMP0002,2025-06-01 00:00:00,22,19,2,1,17.8
ATT000019,EMP0002,2025-07-01 00:00:00,22,19,2,1,9.3
ATT000020,EMP0002,2025-08-01 00:00:00,22,22,0,0,4.6
ATT000021,EMP0002,2025-09-01 00:00:00,23,17,2,4,0
ATT000022,EMP0002,2025-10-01 00:00:00,21,16,0,5,12.1
ATT000023,EMP0002,2025-11-01 00:00:00,21,20,0,1,13.8
ATT000024,EMP0002,2025-12-01 00:00:00,21,20,1,0,3.9
ATT000025,EMP0003,2025-01-01 00:00:00,23,22,1,0,0.1
ATT000026,EMP0003,2025-02-01 00:00:00,21,19,0,2,5.4
ATT000027,EMP0003,2025-03-01 00:00:00,21,21,0,0,13.1
ATT000028,EMP0003,2025-04-01 00:00:00,21,20,0,1,0.4
ATT000029,EMP0003,2025-05-01 00:00:00,22,20,0,2,9.3
ATT000030,EMP0003,2025-06-01 00:00:00,21,19,1,1,4.8
ATT000031,EMP0003,2025-07-01 00:00:00,21,17,1,3,9.9
ATT000032,EMP0003,2025-08-01 00:00:00,21,20,1,0,4.1
ATT000033,EMP0003,2025-09-01 00:00:00,22,19,3,0,19
ATT000034,EMP0003,2025-10-01 00:00:00,21,19,1,1,11.6
ATT000035,EMP0003,2025-11-01 00:00:00,21,17,1,3,12
ATT000036,EMP0003,2025-12-01 00:00:00,22,17,0,5,18.6
ATT000037,EMP0004,2025-01-01 00:00:00,21,17,1,3,0
ATT000038,EMP0004,2025-02-01 00:00:00,21,19,0,2,10.5
ATT000039,EMP0004,2025-03-01 00:00:00,21,19,1,1,0.6
ATT000040,EMP0004,2025-04-01 00:00:00,20,17,0,3,13.8
ATT000041,EMP0004,2025-05-01 00:00:00,22,22,0,0,0
ATT000042,EMP0004,2025-06-01 00:00:00,22,21,1,0,15.4
ATT000043,EMP0004,2025-07-01 00:00:00,23,17,1,5,0
ATT000044,EMP0004,2025-08-01 00:00:00,23,22,0,1,5.1
ATT000045,EMP0004,2025-09-01 00:00:00,22,19,2,1,0
ATT000046,EMP0004,2025-10-01 00:00:00,23,22,0,1,9.9
ATT000047,EMP0004,2025-11-01 00:00:00,22,20,0,2,8.6
ATT000048,EMP0004,2025-12-01 00:00:00,21,20,1,0,10.8
ATT000049,EMP0005,2025-01-01 00:00:00,22,18,3,1,13.3
ATT000050,EMP0005,2025-02-01 00:00:00,23,21,0,2,4
ATT000051,EMP0005,2025-03-01 00:00:00,22,21,0,1,17.7
ATT000052,EMP0005,2025-04-01 00:00:00,22,16,2,4,9.9
ATT000053,EMP0005,2025-05-01 00:00:00,22,21,0,1,14.6
ATT000054,EMP0005,2025-06-01 00:00:00,20,18,2,0,5.7
ATT000055,EMP0005,2025-07-01 00:00:00,22,20,1,1,7.7
ATT000056,EMP0005,2025-08-01 00:00:00,21,18,1,2,11.3
ATT000057,EMP0005,2025-09-01 00:00:00,22,21,0,1,15.5
ATT000058,EMP0005,2025-10-01 00:00:00,21,20,0,1,9.7
ATT000059,EMP0005,2025-11-01 00:00:00,20,15,1,4,1.8
ATT000060,EMP0005,2025-12-01 00:00:00,22,19,1,2,14.4
ATT000061,EMP0006,2025-01-01 00:00:00,22,20,0,2,9
ATT000062,EMP0006,2025-02-01 00:00:00,23,16,2,5,18.5
ATT000063,EMP0006,2025-03-01 00:00:00,21,19,0,2,13.2
ATT000064,EMP0006,2025-04-01 00:00:00,22,21,0,1,9
ATT000065,EMP0006,2025-05-01 00:00:00,21,20,0,1,14.6
ATT000066,EMP0006,2025-06-01 00:00:00,22,18,2,2,6.9
ATT000067,EMP0006,2025-07-01 00:00:00,22,20,0,2,7.3
ATT000068,EMP0006,2025-08-01 00:00:00,23,23,0,0,6.3
ATT000069,EMP0006,2025-09-01 00:00:00,22,19,1,2,15.8
ATT000070,EMP0006,2025-10-01 00:00:00,22,20,2,0,9.7
ATT000071,EMP0006,2025-11-01 00:00:00,21,19,1,1,12.5
ATT000072,EMP0006,2025-12-01 00:00:00,23,21,1,1,10.3
ATT000073,EMP0007,2025-01-01 00:00:00,21,17,0,4,16.8
ATT000074,EMP0007,2025-02-01 00:00:00,22,19,1,2,20.6
ATT000075,EMP0007,2025-03-01 00:00:00,23,21,0,2,1.6
ATT000076,EMP0007,2025-04-01 00:00:00,22,21,0,1,15.8
ATT000077,EMP0007,2025-05-01 00:00:00,22,22,0,0,6.1
ATT000078,EMP0007,2025-06-01 00:00:00,23,19,3,1,0
ATT000079,EMP0007,2025-07-01 00:00:00,22,18,0,4,7
ATT000080,EMP0007,2025-08-01 00:00:00,21,19,2,0,2.8
ATT000081,EMP0007,2025-09-01 00:00:00,22,20,0,2,3
ATT000082,EMP0007,2025-10-01 00:00:00,22,22,0,0,10.4
ATT000083,EMP0007,2025-11-01 00:00:00,22,18,1,3,19.3
ATT000084,EMP0007,2025-12-01 00:00:00,20,19,1,0,12.3
ATT000085,EMP0008,2025-01-01 00:00:00,22,17,2,3,0
ATT000086,EMP0008,2025-02-01 00:00:00,21,21,0,0,15.4
ATT000087,EMP0008,2025-03-01 00:00:00,22,20,2,0,0
ATT000088,EMP0008,2025-04-01 00:00:00,22,22,0,0,7.1
ATT000089,EMP0008,2025-05-01 00:00:00,23,23,0,0,3.7
ATT000090,EMP0008,2025-06-01 00:00:00,21,21,0,0,5.9
ATT000091,EMP0008,2025-07-01 00:00:00,21,20,0,1,0
ATT000092,EMP0008,2025-08-01 00:00:00,23,19,0,4,13.3
ATT000093,EMP0008,2025-09-01 00:00:00,22,20,2,0,7.1
ATT000094,EMP0008,2025-10-01 00:00:00,22,21,0,1,0.7
ATT000095,EMP0008,2025-11-01 00:00:00,23,21,2,0,9.9
ATT000096,EMP0008,2025-12-01 00:00:00,21,19,0,2,3
ATT000097,EMP0009,2025-01-01 00:00:00,21,20,1,0,0
ATT000098,EMP0009,2025-02-01 00:00:00,21,18,1,2,0.1
ATT000099,EMP0009,2025-03-01 00:00:00,22,20,0,2,5.6
ATT000100,EMP0009,2025-04-01 00:00:00,23,21,2,0,8.8
ATT000101,EMP0009,2025-05-01 00:00:00,22,21,1,0,6.4
ATT000102,EMP0009,2025-06-01 00:00:00,22,19,2,1,16.2
